id,label,source
http://metadata.un.org/thesaurus#1002675,GERMANY,UNBIS
http://metadata.un.org/thesaurus#1003302,INTERNATIONAL ECONOMIC AND SOCIAL POLICY,UNBIS
http://metadata.un.org/thesaurus#020400,DEVELOPMENT,UNBIS
http://metadata.un.org/thesaurus#1003539,KURDS,UNBIS
http://metadata.un.org/thesaurus#1003862,MALTESE LANGUAGE,UNBIS
http://metadata.un.org/thesaurus#150101,LANGUAGE,UNBIS
http://metadata.un.org/thesaurus#1004694,"PAINTS, INKS AND VARNISHES",UNBIS
http://metadata.un.org/thesaurus#050400,CHEMICAL INDUSTRY AND PHARMACEUTICALS,UNBIS
http://metadata.un.org/thesaurus#1000915,CHEMICAL INDUSTRY,UNBIS
http://metadata.un.org/thesaurus#1000921,CHEMICALS,UNBIS
http://metadata.un.org/thesaurus#1001058,COATING PROCESSES,UNBIS
http://metadata.un.org/thesaurus#1001803,DYES,UNBIS
http://metadata.un.org/thesaurus#1004403,NEWSPRINT INDUSTRY,UNBIS
http://metadata.un.org/thesaurus#1005110,PRINTING INDUSTRY,UNBIS
http://metadata.un.org/thesaurus#1006045,SOLVENTS,UNBIS
http://metadata.un.org/thesaurus#1005894,"SIGNATURES, ACCESSIONS, RATIFICATIONS",UNBIS
http://metadata.un.org/thesaurus#010701,INTERNATIONAL LAW,UNBIS
http://metadata.un.org/thesaurus#1005225,PROVISIONAL APPLICATION OF TREATIES,UNBIS
http://metadata.un.org/thesaurus#1005504,RESERVATIONS AND DECLARATIONS,UNBIS
http://metadata.un.org/thesaurus#1006683,TREATIES,UNBIS
http://metadata.un.org/thesaurus#1006689,TREATY-MAKING POWER,UNBIS
http://metadata.un.org/thesaurus#1005918,SIWAI,UNBIS
http://metadata.un.org/thesaurus#1007088,WORLD WAR (1914-1918),UNBIS
http://metadata.un.org/thesaurus#010601,POLITICAL EVENTS AND ISSUES,UNBIS
http://metadata.un.org/thesaurus#1000006,ABORTION TECHNIQUES,UNBIS
http://metadata.un.org/thesaurus#1000004,ABORTION,UNBIS
http://metadata.un.org/thesaurus#1000035,ACETONE,UNBIS
http://metadata.un.org/thesaurus#1004655,ORGANIC CHEMICALS,UNBIS
http://metadata.un.org/thesaurus#1000043,ACRONYMS,UNBIS
http://metadata.un.org/thesaurus#1000002,ABBREVIATIONS,UNBIS
http://metadata.un.org/thesaurus#1000047,ACUPUNCTURE,UNBIS
http://metadata.un.org/thesaurus#1004025,MEDICINE,UNBIS
http://metadata.un.org/thesaurus#100601,MEDICAL PRACTICE,UNBIS
http://metadata.un.org/thesaurus#1000070,ADRIATIC SEA,UNBIS
http://metadata.un.org/thesaurus#1004027,MEDITERRANEAN SEA,UNBIS
http://metadata.un.org/thesaurus#170600,OCEANS AND SEAS,UNBIS
http://metadata.un.org/thesaurus#1000077,ADVISORY SERVICES,UNBIS
http://metadata.un.org/thesaurus#1006413,TECHNICAL COOPERATION,UNBIS
http://metadata.un.org/thesaurus#1000078,AEGEAN SEA,UNBIS
http://metadata.un.org/thesaurus#1000088,AERONAUTICAL RESEARCH,UNBIS
http://metadata.un.org/thesaurus#1005752,SCIENTIFIC RESEARCH,UNBIS
http://metadata.un.org/thesaurus#1000105,AFRIKAANS LANGUAGE,UNBIS
http://metadata.un.org/thesaurus#1002673,GERMANIC LANGUAGES,UNBIS
http://metadata.un.org/thesaurus#1000124,AGRICULTURAL APPLICATIONS,UNBIS
http://metadata.un.org/thesaurus#040102,"AGRICULTURAL SCIENCES, ENGINEERING AND EDUCATION",UNBIS
http://metadata.un.org/thesaurus#1000171,AGRICULTURE,UNBIS
http://metadata.un.org/thesaurus#1000125,AGRICULTURAL AVIATION,UNBIS
http://metadata.un.org/thesaurus#1004837,PEST MANAGEMENT,UNBIS
http://metadata.un.org/thesaurus#1000139,AGRICULTURAL EXPERIMENT STATIONS,UNBIS
http://metadata.un.org/thesaurus#1000158,AGRICULTURAL RESEARCH,UNBIS
http://metadata.un.org/thesaurus#1000206,AIR TRANSPORT STATISTICS,UNBIS
http://metadata.un.org/thesaurus#1006665,TRANSPORT STATISTICS,UNBIS
http://metadata.un.org/thesaurus#1000222,ALBANIA SITUATION,UNBIS
http://metadata.un.org/thesaurus#1000221,ALBANIA,UNBIS
http://metadata.un.org/thesaurus#1000223,ALBANIAN LANGUAGE,UNBIS
http://metadata.un.org/thesaurus#1003112,INDO-EUROPEAN LANGUAGES,UNBIS
http://metadata.un.org/thesaurus#1000224,ALBANIANS,UNBIS
http://metadata.un.org/thesaurus#080302,NATIONAL GROUPS,UNBIS
http://metadata.un.org/thesaurus#1000245,ALLERGIES,UNBIS
http://metadata.un.org/thesaurus#100302,DISEASES AND CARRIERS OF DISEASES,UNBIS
